# Start at 2020-03-12 18:08:26.630562
# EA  EB  tA  tB
# 
109.362 1.996 112.502 19.015
36.637 1.318 114.827 24.015
84.515 0.000 111.680 9.586
31.272 0.000 82.913 0.000
142.271 0.000 113.710 9.586
89.314 0.000 112.508 9.586
89.835 0.252 111.326 76.000
40.500 0.952 96.469 24.000
132.115 1.684 115.165 13.347
406.563 2.257 116.744 14.133
77.288 0.000 109.907 0.000
141.459 0.000 112.931 0.000
40.113 0.000 93.538 0.000
46.908 0.000 98.311 0.000
34.694 0.000 75.543 0.000
47.395 0.000 99.811 0.000
43.782 0.000 98.342 0.000
36.494 0.000 85.256 0.000
193.919 0.255 116.531 44.000
132.885 0.000 115.353 0.000
136.265 1.460 114.167 13.126
48.239 0.000 104.180 0.000
139.816 0.252 114.850 331.000
48.001 0.000 107.501 0.000
55.481 1.281 105.849 18.067
180.641 0.736 115.351 100.025
142.255 0.742 114.603 25.025
137.806 0.000 114.356 0.000
47.713 0.000 106.794 0.000
139.500 0.000 114.215 0.000
56.154 0.000 106.549 0.000
45.050 0.000 97.375 0.000
42.661 0.000 98.291 0.000
335.094 0.761 116.527 28.015
36.648 0.498 86.344 159.000
48.294 0.000 100.901 0.000
114.715 1.010 114.284 9.051
63.697 0.746 107.754 52.000
92.633 0.000 111.720 9.586
46.912 2.235 100.868 8.084
70.974 0.502 109.473 214.000
13.002 0.252 26.100 393.000
84.884 1.455 110.596 9.102
29.229 0.966 66.941 23.015
333.409 0.754 116.588 359.000
195.372 0.715 116.118 8.034
344.384 0.000 116.767 0.000
266.316 1.946 115.822 19.783
36.056 1.461 89.682 10.098
19.306 1.226 97.776 24.028
32.450 1.274 56.408 18.015
135.385 0.252 114.189 387.000
86.562 0.000 112.081 0.000
70.942 0.000 107.557 0.000
61.030 0.000 106.108 9.586
95.004 221.523 112.327 350.304
30.180 0.500 74.988 18.015
51.765 0.495 104.689 308.000
127.622 0.000 115.223 0.000
30.059 1.236 72.431 14.198
66.527 2.268 106.948 15.153
35.689 0.733 93.996 101.025
47.731 1.204 103.300 12.119
33.726 2.678 88.966 12.143
93.076 0.000 111.970 0.000
45.919 0.000 105.499 0.000
74.644 0.000 110.187 0.000
28.989 0.000 70.997 0.000
126.855 0.000 114.591 0.000
68.679 0.000 109.585 0.000
55.196 0.759 106.390 12.048
132.938 0.973 113.528 24.632
92.465 2.474 111.568 12.099
72.008 0.000 109.539 0.000
43.609 0.252 104.189 72.000
49.475 1.958 102.982 21.090
63.072 1.483 106.741 9.036
137.583 0.743 115.106 22.032
292.045 0.000 115.942 9.586
90.022 2.680 111.070 50.265
59.649 210.294 106.113 105.799
35.571 0.000 85.624 9.586
141.513 0.000 113.868 9.586
36.415 0.000 88.743 9.586
194.247 0.750 115.922 101.000
55.345 1.244 104.450 50.000
62.427 1.952 109.026 15.113
89.661 2.013 110.231 12.072
172.128 0.000 114.346 0.000
66.507 1.916 107.559 23.214
1132.393 0.000 420.125 0.000
43.884 0.000 102.202 9.586
42.341 0.252 102.224 496.000
55.831 0.000 108.458 9.586
43.452 0.000 105.017 9.586
40.826 0.000 101.255 9.586
55.865 0.000 107.451 9.586
34.244 0.000 90.997 9.586
69.268 0.000 109.510 9.586
40.235 1.701 97.600 11.347
340.459 6.028 117.000 0.000
30.190 0.000 74.378 9.586
62.510 0.000 107.805 9.586
52.271 0.755 103.760 40.000
134.490 1.976 114.122 14.193
81.508 0.000 109.839 0.000
43.356 0.360 104.225 19.015
62.840 1.755 107.488 34.117
135.483 0.000 114.537 9.586
95.352 1.707 112.751 14.617
47.961 1.499 104.525 12.344
73.564 0.276 110.333 26.015
156.733 0.000 115.812 0.000
34.066 0.000 90.966 0.000
59.235 0.000 109.002 0.000
115.855 0.000 112.727 0.000
53.991 0.745 106.390 141.000
338.766 0.260 116.378 11.015
85.011 0.000 110.711 0.000
44.131 0.000 102.135 0.000
371.454 10.039 117.178 24.424
29.275 0.000 41.224 0.000
69.141 0.000 109.680 0.000
94.792 1.314 112.978 22.030
36.311 1.248 96.571 25.015
59.761 0.512 106.864 143.000
266.050 0.000 116.336 0.000
42.157 0.493 101.239 389.000
31.296 0.000 80.928 0.000
75.584 0.000 110.500 0.000
81.702 0.506 111.844 366.000
70.727 0.000 109.442 0.000
231.760 0.000 115.853 0.000
81.793 0.701 111.819 14.083
130.581 2.423 114.424 14.067
140.815 0.000 113.832 9.586
309.855 0.000 117.196 9.586
56.374 85.106 106.304 105.785
31.680 1.446 57.672 9.066
62.598 0.000 109.489 9.586
110.531 1.599 113.597 11.497
137.344 0.252 114.857 45.000
52.214 2.391 106.420 18.070
95.837 0.502 113.629 66.000
51.115 1.927 104.776 9.115
54.773 0.746 105.634 50.000
40.409 1.943 100.700 26.117
37.245 2.008 95.997 38.143
138.074 2.233 115.889 20.054
153.160 0.751 115.262 114.000
94.038 0.252 112.999 69.000
46.324 0.252 104.575 96.000
366.912 0.000 117.810 9.586
65.236 0.000 109.051 9.586
33.118 0.000 86.998 9.586
105.337 0.000 113.242 0.000
139.342 0.520 113.256 22.053
43.145 1.507 104.207 16.680
375.623 0.000 117.268 0.000
53.301 1.000 106.295 32.000
138.275 0.510 114.060 283.000
72.422 1.247 110.053 103.000
140.012 205.517 114.066 114.222
56.828 1.076 107.308 493.166
32.497 0.000 87.196 0.000
95.422 2.183 111.982 19.469
72.976 1.952 110.114 14.070
139.135 0.000 114.432 0.000
138.685 0.000 114.530 9.586
280.946 0.000 116.130 0.000
49.286 0.753 109.503 18.049
28.745 0.000 54.247 9.586
266.750 0.000 116.628 9.586
40.005 2.208 100.217 14.238
138.296 0.000 114.392 0.000
136.619 0.741 114.269 26.015
144.518 0.000 114.754 9.586
39.012 0.000 97.543 9.586
146.970 0.500 115.284 22.015
131.251 0.000 114.145 9.586
98.995 0.000 112.309 9.586
34.943 0.737 93.571 69.025
51.746 1.975 105.706 15.490
86.274 1.893 111.999 23.056
32.443 0.000 83.997 0.000
53.817 0.000 113.712 0.000
58.627 1.974 107.424 8.594
104.883 0.000 113.256 9.586
31.462 0.000 82.997 9.586
52.004 0.000 105.779 9.586
104.431 0.739 113.328 22.071
150.593 2.214 114.998 20.187
171.153 0.000 115.908 9.586
65.223 0.252 109.653 382.000
144.348 0.000 114.889 9.586
66.278 0.771 109.493 236.000
0.987 0.000 19.028 9.586
54.084 0.000 105.657 0.000
68.281 1.457 110.407 12.044
47.702 0.252 104.695 180.000
333.671 0.981 117.775 77.025
43.678 2.169 100.029 20.324
35.616 2.151 88.699 22.214
144.002 1.009 113.764 10.048
63.289 0.000 107.790 9.586
33.993 1.773 91.677 27.033
98.616 4.686 111.591 387.564
146.233 0.000 114.975 0.000
48.420 1.891 103.500 9.014
60.148 0.252 107.975 472.000
48.473 28.692 103.217 104.999
60.659 0.000 108.013 9.586
269.437 0.752 116.350 199.000
54.303 1.860 105.706 16.597
79.972 2.370 109.890 9.063
45.754 0.000 102.345 9.586
57.063 0.000 112.021 9.586
89.657 0.000 113.150 9.586
55.731 0.000 112.740 9.586
98.894 0.000 112.670 9.586
68.579 0.252 109.772 165.000
63.198 2.653 107.001 17.121
54.651 0.252 108.445 68.000
161.647 0.000 114.708 9.586
55.605 0.000 106.298 9.586
55.231 0.000 105.295 9.586
67.250 0.252 107.615 171.000
51.273 2.225 103.776 23.113
30.919 1.701 80.941 23.077
60.672 1.420 108.006 14.065
313.760 1.765 116.781 10.360
72.861 1.865 109.524 11.740
86.435 0.000 111.317 0.000
49.662 0.000 104.787 0.000
39.161 0.000 93.744 0.000
52.894 2.801 105.310 15.086
138.132 1.505 114.873 17.081
30.471 1.966 74.968 23.126
33.307 1.697 89.921 15.098
135.724 0.000 114.112 9.586
32.527 0.000 84.997 0.000
53.321 1.538 106.577 17.025
44.977 1.978 103.473 13.089
141.793 0.000 115.603 9.586
29.371 0.253 66.409 317.000
42.073 1.776 103.207 13.074
143.875 0.000 114.714 9.586
138.667 0.252 114.470 188.000
145.628 206.438 114.802 115.118
85.710 2.947 110.669 298.000
54.579 0.000 104.693 0.000
141.269 0.000 113.876 0.000
96.778 0.252 112.599 315.000
149.459 1.913 114.675 20.323
36.117 0.000 91.592 0.000
99.952 0.000 115.338 0.000
42.817 2.227 101.228 24.072
79.611 0.252 110.664 327.000
71.243 2.741 110.162 17.321
69.852 0.745 109.585 34.025
52.759 0.000 105.781 0.000
58.193 0.000 110.025 0.000
42.107 0.000 103.229 0.000
59.860 0.000 107.380 0.000
84.228 0.000 111.342 0.000
38.842 1.621 102.230 10.237
36.827 0.000 95.676 9.586
71.997 1.862 110.321 8.015
105.205 0.000 113.226 9.586
35.981 2.670 93.957 149.000
44.084 0.374 102.525 18.015
86.713 1.765 112.339 31.000
140.046 0.772 113.779 24.111
66.553 0.000 107.914 9.586
67.560 0.000 109.663 9.586
60.329 0.499 107.935 79.000
65.074 1.725 107.938 13.179
52.999 1.475 106.310 20.051
87.319 2.400 112.389 18.381
135.563 1.549 114.143 46.579
159.752 1.685 114.567 9.027
124.413 1.619 114.024 10.360
134.277 0.000 114.276 0.000
40.933 0.000 97.566 0.000
37.550 210.189 95.590 94.598
72.030 0.000 110.104 0.000
88.325 0.000 112.362 0.000
78.452 2.770 110.238 20.324
341.589 0.000 116.373 0.000
147.923 0.504 114.199 21.000
81.369 1.742 110.744 18.090
49.276 0.000 104.725 0.000
286.526 0.000 116.167 0.000
70.356 82.167 107.930 109.789
135.760 223.639 113.637 114.616
104.233 1.245 113.553 17.058
29.774 0.252 63.292 302.000
508.739 198.138 121.658 385.539
42.080 1.698 97.235 10.099
273.407 0.000 115.608 0.000
344.805 0.000 117.629 0.000
151.649 7.181 114.514 15.847
52.394 0.000 103.705 0.000
58.639 0.252 103.516 315.000
146.532 0.000 113.889 0.000
59.047 2.166 104.352 12.146
54.102 1176.076 106.259 373.014
53.534 0.000 106.309 9.586
304.442 0.974 115.958 14.030
7.596 0.000 17.806 9.586
142.576 0.000 113.085 9.586
36.669 1.205 93.515 13.033
42.669 1.726 102.230 14.044
145.017 1.410 113.878 34.070
87.594 1.618 111.333 22.000
40.821 0.752 94.653 30.000
82.352 0.761 110.751 14.030
254.409 1.814 116.490 11.030
71.965 94.254 109.499 110.030
20.529 0.000 24.886 9.586
58.024 0.000 108.977 9.586
134.217 0.000 114.616 9.586
59.861 0.000 107.297 9.586
82.952 1.954 110.736 104.374
49.943 1.768 104.717 11.019
117.006 5.744 115.001 382.652
139.629 0.000 115.579 0.000
141.992 0.000 114.410 9.586
38.076 0.000 95.994 9.586
83.088 0.000 110.757 9.586
313.359 0.000 117.162 9.586
97.014 0.000 111.635 0.000
56.384 0.000 106.226 9.586
120.476 0.000 113.512 9.586
244.573 3.093 115.733 244.000
25.106 0.761 100.310 21.046
209.980 0.746 115.266 35.025
71.381 2.226 109.871 10.875
81.905 2.429 110.555 19.699
169.165 1.704 115.038 17.256
66.168 2.632 108.523 9.155
44.797 1.691 98.302 14.030
44.483 1.793 97.278 11.334
117.706 0.000 113.343 9.586
36.429 0.000 92.879 9.586
256.062 2.298 115.459 28.015
66.043 0.000 107.589 9.586
254.011 0.727 116.081 22.015
134.228 0.735 115.276 12.015
62.952 0.000 109.002 0.000
143.141 0.000 115.318 0.000
52.892 2.163 105.647 15.119
60.131 2.401 107.478 8.874
71.262 1.780 109.519 18.054
54.582 0.000 109.002 0.000
61.164 2.388 107.374 15.088
214.102 0.000 115.506 0.000
60.427 1.419 109.001 9.034
72.237 1.534 110.425 28.576
67.754 0.746 109.565 84.000
34.082 0.000 88.769 0.000
108.209 0.000 114.125 0.000
42.871 0.000 103.177 0.000
280.549 0.000 116.356 0.000
30.915 0.000 76.312 0.000
56.106 75.489 104.554 105.465
141.781 213.871 114.603 113.931
250.862 0.000 117.083 0.000
36.870 0.000 95.423 0.000
463.995 0.000 207.133 0.000
31.350 0.000 72.448 0.000
139.353 0.000 115.229 0.000
97.061 0.000 111.999 0.000
32.905 0.000 87.968 0.000
78.975 0.350 111.161 18.025
121.096 0.000 116.700 0.000
124.838 0.000 113.177 0.000
149.061 37.733 115.130 398.999
100.907 0.000 111.700 0.000
28.444 0.986 41.992 44.049
152.364 1.906 114.487 14.045
97.657 0.976 113.535 21.025
53.674 0.000 107.411 0.000
90.692 0.252 110.858 460.000
92.785 0.000 111.999 0.000
30.768 0.000 77.907 0.000
99.857 115.890 112.295 111.889
144.776 0.988 114.697 41.143
61.643 0.000 108.010 9.586
137.465 0.000 114.217 9.586
135.370 0.994 114.630 60.000
32.195 2.464 81.894 8.846
60.755 2.254 107.702 12.078
145.478 0.000 113.818 0.000
47.420 0.000 102.525 9.586
49.047 0.000 104.797 0.000
92.890 0.000 110.516 9.586
140.488 1.010 113.805 9.014
171.133 0.000 114.275 0.000
233.014 0.000 118.229 0.000
371.649 0.000 117.714 0.000
48.301 0.000 101.971 0.000
206.045 1.741 114.838 16.432
318.513 0.000 116.918 0.000
132.990 0.000 113.627 0.000
38.004 0.000 86.514 0.000
51.323 0.301 101.441 22.025
32.519 2.528 80.751 22.045
40.197 2.257 98.413 9.138
327.834 1.939 116.604 14.325
118.777 1.785 113.573 12.335
47.892 0.000 103.473 0.000
28.714 1.729 68.388 15.340
144.909 0.000 115.999 0.000
138.727 43.529 114.685 111.704
70.499 1.913 109.431 169.000
90.286 2.245 111.821 10.030
129.912 199.283 114.408 113.551
55.926 0.000 107.341 0.000
47.999 0.000 104.090 0.000
32.522 1.545 82.485 10.026
55.609 1.728 105.620 15.015
200.508 0.506 115.798 69.000
126.166 0.000 114.283 0.000
88.782 0.000 112.972 0.000
31.459 0.000 82.992 0.000
76.815 8.326 110.176 0.000
137.899 182.229 114.257 114.300
55.347 1.719 105.620 8.077
53.415 0.497 106.350 293.000
54.453 0.000 107.322 0.000
32.005 0.252 106.020 30.000
268.144 0.000 115.825 0.000
37.570 0.991 101.177 24.053
43.365 3.156 103.078 181.000
52.774 0.987 105.808 56.000
72.987 74.727 110.167 111.687
43.454 0.000 103.194 0.000
139.556 0.000 115.109 0.000
127.822 0.000 114.339 0.000
1.284 2.027 266.000 21.424
